Feature,Importance
left-clip-cns,0.020335880959440698
right-clip-cns,0.016268093732396051
left-disc-cns,0.020555864020378945
right-disc-cns,0.044836358578635736
left-polyA,0.0013021122664036691
right-polyA,0.0015175801396946345
left-local-cov,0.010183351684310064
right-local-cov,0.007395900100161619
num-clip,0.068260310612505468
num-fully-map,0.14385538869858736
left-raw-clip,0.007527012477299695
right-raw-clip,0.0074126777328744186
num-discordant-pair,0.28936997197498748
num-concordant-pair,0.36117949702232421
